text,label
I feel great today,positive
I am very happy,positive
This is awesome,positive
I feel good,positive
I am excited about my progress,positive
Today was productive and satisfying,positive
I feel confident and motivated,positive
Everything went well today,positive
I am proud of myself,positive
I feel energetic and strong,positive
This made me smile,positive
I had a wonderful day,positive
Things are improving for me,positive
I feel optimistic about tomorrow,positive
I am grateful for today,positive
I accomplished my goals,positive
I feel relaxed and calm,positive
That was a great experience,positive
I feel positive about this,positive
Life feels good right now,positive
I am enjoying my work,positive
I feel inspired today,positive
This is going better than expected,positive
I feel hopeful and steady,positive
I handled that really well,positive
I feel balanced and focused,positive
I am satisfied with the results,positive
Today felt smooth and easy,positive
I feel strong mentally,positive
Everything seems under control,positive
I feel peaceful and stable,positive
That was surprisingly nice,positive
I am feeling bright and cheerful,positive
Today gave me good energy,positive
I feel supported and valued,positive
I managed my stress well,positive
I am feeling successful,positive
This feels rewarding,positive
I feel refreshed,positive
Today turned out well,positive
I feel content and comfortable,positive
I am calm and collected,positive
This is working perfectly,positive
I feel thankful and positive,positive
I am in a good mood,positive
Everything feels aligned,positive
I feel safe and secure,positive
I am making progress,positive
I feel proud and happy,positive
This day felt meaningful,positive

I am tired and stressed,negative
This is bad,negative
I feel anxious,negative
I am sad today,negative
Today was exhausting,negative
I feel overwhelmed,negative
Nothing seems to work,negative
I feel frustrated,negative
This is disappointing,negative
I feel burned out,negative
I am mentally drained,negative
Today was really hard,negative
I feel worried and tense,negative
Everything feels heavy,negative
I feel stuck and hopeless,negative
This situation is stressful,negative
I feel irritated,negative
I am losing motivation,negative
I feel disappointed in myself,negative
Today was chaotic,negative
I feel nervous and uneasy,negative
Nothing went right today,negative
I feel discouraged,negative
This feels pointless,negative
I am emotionally tired,negative
I feel lost and confused,negative
This is overwhelming me,negative
I feel restless and anxious,negative
I am struggling today,negative
I feel negative about everything,negative
Today was frustrating,negative
I feel defeated,negative
Everything is going wrong,negative
I feel insecure,negative
This made me upset,negative
I feel pressure building up,negative
I am not feeling okay,negative
Today drained my energy,negative
I feel mentally exhausted,negative
I am disappointed with the outcome,negative
This feels stressful,negative
I feel emotionally overwhelmed,negative
I am worried about tomorrow,negative
Nothing makes sense today,negative
I feel tense and uncomfortable,negative
I am struggling to focus,negative
I feel hopeless right now,negative
Today was discouraging,negative
I feel angry and frustrated,negative
This situation is exhausting,negative

Nothing special happened,neutral
I feel okay,neutral
Just a normal day,neutral
Today was average,neutral
It was a typical day,neutral
Nothing unusual today,neutral
I feel neither good nor bad,neutral
Today was fine,neutral
It was an ordinary day,neutral
I feel stable,neutral
Things were manageable,neutral
It was just another day,neutral
Nothing major happened,neutral
I feel balanced,neutral
Today was steady,neutral
Everything was normal,neutral
I feel neutral about this,neutral
The day went as expected,neutral
I feel calm but not excited,neutral
It was routine,neutral
Nothing stood out today,neutral
I feel steady,neutral
It was predictable,neutral
Today was simple,neutral
I feel indifferent,neutral
The situation was average,neutral
Nothing to complain about,neutral
It was moderate,neutral
Today felt regular,neutral
I feel stable and quiet,neutral
Nothing exciting happened,neutral
I feel composed,neutral
Today was uneventful,neutral
It felt standard,neutral
I feel controlled and steady,neutral
The day was balanced,neutral
Nothing dramatic today,neutral
I feel level-headed,neutral
It was consistent,neutral
Today was manageable,neutral
I feel neutral overall,neutral
It was acceptable,neutral
Nothing surprising occurred,neutral
I feel steady and normal,neutral
Today was mild,neutral
It felt calm,neutral
I feel even,neutral
The day was straightforward,neutral
Nothing intense happened,neutral
I feel moderate,neutral
